name,kampong,mukim,district,longitude,latitude,officiated,used,completed,capacity,estimated_cost,type,category,notes
Masjid Kg. Pulaie,Kg. Pulaie,Mukim Berakas A,Brunei Muara,4.933553302,114.9516376,1987,,,"1,200","500,000.00",masjid,Masjid Kampong,
Masjid Kg. Putat,Kg. Putat,Mukim Lumapas,Brunei Muara,4.83409563,114.9753689,1983,,,500,,masjid,Masjid Kampong,
Masjid Kg. Perpindahan Serasa,Kg. Serasa,Mukim Serasa,Brunei Muara,5.003074533,115.0522944,1987,1987,1986,500,"514,360.00",masjid,Masjid Kampong,
Masjid Rashidah Sa'adatul Bolkiah,Kg. Sungai Akar,Mukim Berakas B,Brunei Muara,4.935287274,114.9670927,2013,,2013,1000,"3,191,294.00",masjid,Masjid Kampong,
Masjid Kg. Sungai Besar,Kg. Sungai Besar,Mukim Kota Batu,Brunei Muara,4.941621152,115.0192386,1984,,1983,630,"400,000.00",masjid,Masjid Kampong,
Masjid Kg. Sungai Buloh,Kg. Sungai Buloh,Mukim Mentiri,Brunei Muara,4.991632273,115.0228082,1983,1983,1983,370,"327,000.00",masjid,Masjid Kampong,
Masjid Kg. Sungai Hanching,Kg. Sungai Hanching,Mukim Berakas B,Brunei Muara,4.964736187,114.9764545,1982,1982,1982,1400,"500,000.00",masjid,Masjid Kampong,
Masjid Kg. Tanah Jambu,Kg. Tanah Jambu,Mukim Mentiri,Brunei Muara,4.996817378,115.0034602,1979,,1979,800,"600,000.00",masjid,Masjid Kampong,
Masjid Ar-Rahman Kg Tanjong Bunut,Kg. Tanjong Bunut,Mukim Kilanas,Brunei Muara,4.892881981,114.8538731,2018,2018,2018,"1,260","3,560,000.00",masjid,Masjid Kampong,
Masjid Kg. Sungai Bunga,Kg. Tanjong Kindana,Mukim Kota Batu,Brunei Muara,4.915233258,115.0135934,1999,1999,1998,200,"800,000.00",masjid,Masjid Kampong,
Masjid Az-Zakireen,Kg. Meragang,Mukim Serasa,Brunei Muara,5.033544406,115.037307,2024,2024,2023,2200,"4,300,000.00",masjid,Masjid Kampong,
Masjid Kg. Batu Apoi,Kg. Batu Apoi,Mukim Batu Apoi,Temburong,4.714914898,115.1103332,1987,1987,1987,200,"385,000.00",masjid,Masjid Kampong,
Masjid Pengiran Haji Abu Bakar,Kg. Bokok,Mukim Bokok,Temburong,4.649122124,115.051689,1988,1987,1987,200,"385,000.00",masjid,Masjid Kampong,
Masjid Kg. Labu Estate,Kg. Labu Estate,Mukim Labu,Temburong,4.763702743,115.1857757,1982,1981,1981,200,,masjid,Masjid Kampong,
